# Human-readable software catalog. Presence here means “I use this” or “I need its function”.
# Installation ownership belongs in the platform/package manifests.
# Apple system applications such as Safari are intentionally omitted.

AppCleaner | macOS | application removal and leftover cleanup; Linux package managers own uninstall cleanup
Feedreader | macOS, Linux | local RSS/Atom reader from ~/Code/feedreader; launchd on macOS, user service to be designed on Linux
Ghostty | macOS, Linux | terminal
Handy | macOS, Linux | local speech-to-text dictation; use the upstream Linux package
Helium | macOS, Linux | primary Chromium browser; manual/upstream installation
Hermes Agent | macOS, Linux | agent; official installer
IINA | macOS | media player; use mpv or Celluloid on Linux
KeePassXC | macOS, Linux | password manager for the synchronized encrypted KDBX database
LinearMouse | macOS | mouse/scroll customization; evaluate input-remapper, Piper/libratbag, and libinput settings on Linux
LocalSend | macOS, Linux, Android | local file transfer
Nicotine+ | Linux | preferred Soulseek client on Linux
Obsidian | macOS, Linux, Android | notes and project-vault editor
PDF Squeezer | macOS | PDF compression; evaluate Ghostscript and OCRmyPDF on Linux
Pi | macOS, Linux | coding agent; Bun global package
qBittorrent | macOS, Linux | BitTorrent client
Shottr | macOS | screenshot capture and annotation; evaluate Flameshot or Ksnip, plus an OCR tool if needed, on Linux
SoulseekQt | macOS | current Soulseek client; replace with Nicotine+ on Linux
Stremio | macOS, Linux, Android | media
Syncthing | macOS, Linux, Android | file synchronization and phone relay
Tailscale | macOS, Linux, Android | private network and service access
offline.tldraw.com | Linux | browser-installed drawing PWA; experimental
